Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
005 FC | DVY | 9 Mayis | BK - ELM,TR,(+22 Yrs) FC SA 60,BK-EMY-3 - Kopya,302.26281944,90176,103499,677.0,BV_YP_DVY_Seminer_ThankYouPage,2.28986984,132.0,2.92044193,0.44647388,1.1990454,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,164.10691646,39873,42916,515.0,BV_YP_DVY_Seminer_ThankYouPage,2.37836111,69.0,3.82390988,0.31865421,1.92235996,2025-05-10,2025-05-22
TT 06 | DVY | C-1 | 14D Best Ads.-P1 | M4 | Lead | CBO | 08.05.25,TR,(+22 Yrs) FC SA 60,BK-EM-2,85.15,25776,25993,239.0,BV_YP_DVY_Seminer_ThankYouPage,2.74677419,31.0,3.27588197,0.35627615,1.33112761,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,DVY_BSSG_FK_2_1,82.91,9376,12153,136.0,BV_YP_DVY_Seminer_ThankYouPage,1.4545614,57.0,6.82218382,0.60963235,1.8843084,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-1,76.81488037,15592,17388,194.0,BV_YP_DVY_Seminer_ThankYouPage,1.78639257,43.0,4.41769498,0.39595299,1.74833218,2025-05-10,2025-05-22
TT ASC 1 | DVY | 14D Best Ads. | M4 | 16.05.25 Campaign,TR,TT ASC 1 | DVY | 14D Best Ads. | M4 | 16.05.25 Ad set,SJ-AI-DVY-MK-2,72.73,13536,14139,155.0,BV_YP_DVY_Seminer_ThankYouPage,2.20393939,33.0,5.14392814,0.46922581,1.52061673,2025-05-10,2025-05-22
003 FC | DVY | 7 Mayis |,TR,(+22 Yrs) UB | SA 49,DVY_BIST_FK_1_1 - Kopya,61.74,7836,8641,68.0,BV_YP_DVY_Seminer_ThankYouPage,4.41,14.0,7.14500637,0.90794118,1.28457354,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,TR,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-2,60.98,12107,12990,135.0,BV_YP_DVY_Seminer_ThankYouPage,2.34538462,26.0,4.69438029,0.4517037,1.67821401,2025-05-10,2025-05-22
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TR,TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,BK-OBD-2,56.57,10309,11486,140.0,BV_YP_DVY_Seminer_ThankYouPage,1.45051282,39.0,4.92512624,0.40407143,1.91537524,2025-05-10,2025-05-22
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,TR,2.5 | TT SA 47 | UB 76&Yazarlar | 850K | 13.03.25,SJ-AI-DVY-MK-1,53.64,9156,9922,84.0,BV_YP_DVY_Seminer_ThankYouPage,1.91571429,28.0,5.40616811,0.63857143,1.4513203,2025-05-10,2025-05-22
