Campaign name,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT ASC 3 | DVY | 14D Best Ads. | M4 | Coscap-2.5$ | 19.05.25 Campaign,TR,920.94,173983,224763,1846.0,BV_YP_DVY_Seminer_ThankYouPage,2.55816667,360.0,4.09738258,0.49888407,1.35342561,2025-05-23,2025-05-29
TT ASC 4 | ÖS | DVY | 14D Best Ads. | M4 | CBO | 22.05.25 Campaign,TR,206.95,47360,51697,471.0,BV_YP_DVY_Seminer_ThankYouPage,2.52378049,82.0,4.00313364,0.43938429,1.49718552,2025-05-23,2025-05-29
TT 16 | DVY | TT SA 47 | FK&BK | M4 | Sales | CBO-BID | 11.05.25,TR,127.84,19024,22217,221.0,BV_YP_DVY_Seminer_ThankYouPage,1.80056338,71.0,5.75415223,0.57846154,1.5978755,2025-05-23,2025-05-29
TT ASC 1 | DVY | 14D Best Ads. | M4 | 16.05.25 Campaign,TR,87.67,21428,22254,220.0,BV_YP_DVY_Seminer_ThankYouPage,2.92233333,30.0,3.93951649,0.3985,1.5323088,2025-05-23,2025-05-29
TT 06 | DVY | C-1 | 14D Best Ads.-P1 | M4 | Lead | CBO | 08.05.25,TR,55.95,15884,15967,147.0,BV_YP_DVY_Seminer_ThankYouPage,3.73,15.0,3.50410221,0.38061224,1.42168222,2025-05-23,2025-05-29
TT 03 | DVY | TT SA 47 | OTPKİ-OLT-BK | M4 | Sales | CBO | CosCap-Mix | 08.05.25,TR,53.02,17144,17673,143.0,BV_YP_DVY_Seminer_ThankYouPage,3.11882353,17.0,3.00005658,0.37076923,1.39761218,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,DE,51.78,1468,1853,23.0,BV_YP_DVY_Seminer_ThankYouPage,5.178,10.0,27.9438748,2.25130435,2.53642742,2025-05-23,2025-05-29
TT ASC 5 | DVY | 14D Best Ads. | M4 | Coscap-2.25$ | 24.05.25 Campaign,TR,49.85,14192,14808,143.0,BV_YP_DVY_Seminer_ThankYouPage,3.56071429,14.0,3.36642355,0.3486014,1.53295516,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,GB,40.26,1236,1574,25.0,BV_YP_DVY_Seminer_ThankYouPage,5.75142857,7.0,25.57814485,1.6104,3.11308767,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,US,38.22,1176,1449,32.0,BV_YP_DVY_Seminer_ThankYouPage,4.7775,8.0,26.37681159,1.194375,4.07177364,2025-05-23,2025-05-29
TT 38 | DVY | GLOBAL-Genel Hedeflemeler | OLT-BK | M4 | Lead | CBO | 25.05.25,BG,17.74,1704,2793,26.0,BV_YP_DVY_Seminer_ThankYouPage,3.548,5.0,6.35159327,0.68230769,1.86179735,2025-05-23,2025-05-29
