Campaign name,Country,Ad Set Name,Ad name,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
FC 032 | DVY | 5 Mayis |,TR,Kisisel Gelisim 2 Mayis 2025,OTPKİ-OLT-BK-1 - Kopya,245.81932618,148993,164771,708.0,DVY_Egitimi_OptinTebriklerSayfasi,2.3865954,103.0,1.49188465,0.34720244,0.8114292,2025-05-10,2025-05-22
AZ/Turkic | TT 317 | DVY | New Aud. 2-1 | OTPKİ-OLT-BK | M2 | Lead | CBO | 13.05.25,AZ,TT SA 49 | Winner 48/21-50 | 2.3M | 13.03.25,OTPKİ-OLT-BK-4,198.43,58832,67435,560.0,DVY_Egitimi_OptinTebriklerSayfasi,1.58744,125.0,2.94253726,0.35433929,1.34203307,2025-05-10,2025-05-22
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,TR,TT ABO 15  | Winner 48/21-50 | 2.3M | 13.03.25 | - Copy,OTPKİ-OLT-BK-4,172.26,95116,97803,448.0,DVY_Egitimi_OptinTebriklerSayfasi,2.2968,75.0,1.76129567,0.38450893,0.93759905,2025-05-10,2025-05-22
TT ASC 1 Test 18-65 | ÖS |  DVY | 14D Best Ads. | M4 | CBO | 17.05.25 Campaign,TR,TT ASC 1 Test 18-65 | ÖS |  DVY | 14D Best Ads. | M4 | CBO | 17.05.25 Ad set,SJ-AI-DVY-3,171.75,78934,106964,616.0,DVY_Egitimi_OptinTebriklerSayfasi,1.0734375,160.0,1.60568042,0.27881494,1.06951872,2025-05-10,2025-05-22
TT 475 | DVY | BROAD GLOBAL-2 | 14D Best Ads. | M2 | CBO | Sales | 16.05.25,TR,TT SA 74 | BROAD-GLOBAL 2,SJ-AI-DVY-3,166.05,68512,83040,372.0,DVY_Egitimi_OptinTebriklerSayfasi,2.025,82.0,1.99963873,0.44637097,0.88872832,2025-05-10,2025-05-22
TT 475 | DVY | BROAD GLOBAL-2 | 14D Best Ads. | M2 | CBO | Sales | 16.05.25,AZ,TT SA 74 | BROAD-GLOBAL 2,SJ-AI-DVY-3,144.26,39904,53666,319.0,DVY_Egitimi_OptinTebriklerSayfasi,1.84948718,78.0,2.68810793,0.45222571,0.98386315,2025-05-10,2025-05-22
TT ASC 1 Test 18-65 | ÖS |  DVY | 14D Best Ads. | M4 | CBO | 17.05.25 Campaign,TR,TT ASC 1 Test 18-65 | ÖS |  DVY | 14D Best Ads. | M4 | CBO | 17.05.25 Ad set,BK-EM-2,143.77,58920,66159,530.0,DVY_Egitimi_OptinTebriklerSayfasi,1.45222222,99.0,2.17309814,0.27126415,1.34222101,2025-05-10,2025-05-22
TT 469 | DVY | AZ-2 | 14D Best Ads. 2 | M4 | Lead | CBO | 16.05.25,AZ,TT SA 70 | AZ Solo Tech | 400K | 15.05.25,OTPKİ-OLT-BK-4,143.71,34000,39220,396.0,DVY_Egitimi_OptinTebriklerSayfasi,1.35575472,106.0,3.66420194,0.36290404,1.59867415,2025-05-10,2025-05-22
TT 469 | DVY | AZ-2 | 14D Best Ads. 2 | M4 | Lead | CBO | 16.05.25,AZ,TT SA 71 | AZ Marketing | 900K | 15.05.25,OTPKİ-OLT-BK-2,142.27,33424,36364,555.0,DVY_Egitimi_OptinTebriklerSayfasi,1.54641304,92.0,3.91238588,0.25634234,2.35122649,2025-05-10,2025-05-22
TT 459 | DVY | New Aud. 1-1 | SJ-AI-DVY-MK | M4 | Lead | CBO | 15.05.25,TR,TT SA 44 | TT SA 08+Girişimcilik | 3.1M | 11.03.25,SJ-AI-DVY-MK-2,137.73,30256,34680,332.0,DVY_Egitimi_OptinTebriklerSayfasi,2.18619048,63.0,3.97145329,0.4148494,1.61764706,2025-05-10,2025-05-22
