Universal_Campaign_ID,Country,Amount spent (USD),Reach,Impressions,Link clicks,Result type,Cost per result,Results,"CPM (cost per 1,000 impressions)",CPC (cost per link click),CTR (all),Reporting starts,Reporting ends
TT 361 | DVY | OTPKİ-OLT-BK | M2 | Lead | ABO | CosCap-Mix | 21.04.25,TR,1610.38175616,544666,729401,4183.0,DVY_Egitimi_OptinTebriklerSayfasi,2.3338866,690.0,2.20781402,0.38498249,1.12434724,2025-05-23,2025-05-29
TT ASC 1 Test 18-65 | ÖS |  DVY | 14D Best Ads. | M4 | CBO | 17.05.25 Campaign,TR,440.75,200578,306806,1694.0,DVY_Egitimi_OptinTebriklerSayfasi,1.2380618,356.0,1.43657556,0.260183,0.95565276,2025-05-23,2025-05-29
TT 475 | DVY | BROAD GLOBAL-2 | 14D Best Ads. | M2 | CBO | Sales | 16.05.25,AZ,436.52,101569,143191,1358.0,DVY_Egitimi_OptinTebriklerSayfasi,1.72537549,253.0,3.04851562,0.3214433,1.67398789,2025-05-23,2025-05-29
TT 475 | DVY | BROAD GLOBAL-2 | 14D Best Ads. | M2 | CBO | Sales | 16.05.25,TR,263.66,142274,162649,833.0,DVY_Egitimi_OptinTebriklerSayfasi,1.91057971,138.0,1.62103671,0.31651861,0.95174271,2025-05-23,2025-05-29
TT 501 | DVY | Best Aud. | D-1 | MM-DVY-MK | M4 | Lead | CBO | 25.05.25,TR,245.65,54400,59972,540.0,DVY_Egitimi_OptinTebriklerSayfasi,3.41180556,72.0,4.09607817,0.45490741,1.40565597,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,AZ,188.03204578,55232,69546,618.0,DVY_Egitimi_OptinTebriklerSayfasi,1.56693371,120.0,2.70370756,0.30425897,1.49253731,2025-05-23,2025-05-29
TT 500 | DVY | Best Aud. | A-1 | MM-DVY-MK | M4 | Lead | CBO | 24.05.25,TR,151.99,33008,35524,330.0,DVY_Egitimi_OptinTebriklerSayfasi,2.86773585,53.0,4.27851593,0.46057576,1.48913411,2025-05-23,2025-05-29
TT 313 | DVY | Best Aud. | B-1 | A Green-5 | M2 | Lead | CBO | 13.04.25,TR,128.86,26592,30561,200.0,DVY_Egitimi_OptinTebriklerSayfasi,3.14292683,41.0,4.21648506,0.6443,1.08307974,2025-05-23,2025-05-29
TT 506 | DVY | Best Aud. | C-1 | SJ-OD-MK | Manuel Placement | M4 | Lead | CBO | 28.05.25,TR,120.18,20076,21842,209.0,DVY_Egitimi_OptinTebriklerSayfasi,3.43371429,35.0,5.50224338,0.57502392,1.54747734,2025-05-23,2025-05-29
#Global | UB DVY 30 | Sales | ABO | Mix | 25.05.2025,DE,95.68104101,7808,10261,131.0,DVY_Egitimi_OptinTebriklerSayfasi,5.31561339,18.0,9.32472868,0.73038963,2.26098821,2025-05-23,2025-05-29
"FC 015 | DVY| 26 Nisan| 2,00 $",TR,95.62,10229,14370,142.0,DVY_Egitimi_OptinTebriklerSayfasi,2.12488889,45.0,6.65414057,0.67338028,2.02505219,2025-05-23,2025-05-29
TT 510 | DVY | Best Aud. | H-1 | MM2-DVY2-MK | M4 | Lead | CBO | 28.05.25,TR,95.51,34240,35819,201.0,DVY_Egitimi_OptinTebriklerSayfasi,3.67346154,26.0,2.66646193,0.47517413,0.87942154,2025-05-23,2025-05-29
